edificio,nome,via,cluster,anello,lat,lon,MWh_SH,MWh_ACS,consumo_annuo_MWh,tipo_utenza,area_m2
PRIV_0001,Via Polcenigo 6,Via Polcenigo,Zona 3 - Sud,1,46.163935,12.714091,49.385,8.715,58.099999999999994,Privato (potenziale),
PRIV_0002,Via Polcenigo 14,Via Polcenigo,Zona 3 - Sud,1,46.1635,12.714352,46.648,8.232,54.88,Privato (potenziale),
PRIV_0003,Via Polcenigo 18,Via Polcenigo,Zona 3 - Sud,1,46.163346,12.714449,51.646,9.114,60.760000000000005,Privato (potenziale),
PRIV_0004,Via Polcenigo 20,Via Polcenigo,Zona 3 - Sud,1,46.163108,12.714576,44.149,7.79,51.939,Privato (potenziale),
PRIV_0005,Edificio 4,,Zona 3 - Sud,1,46.162666,12.714791,33.558,5.922,39.48,Privato (potenziale),
PRIV_0006,Via Polcenigo 26,Via Polcenigo,Zona 3 - Sud,1,46.162459,12.71492,41.055,7.245,48.3,Privato (potenziale),
PRIV_0007,Via Polcenigo 32,Via Polcenigo,Zona 3 - Sud,1,46.162146,12.715533,45.815,8.085,53.9,Privato (potenziale),
PRIV_0008,Via Polcenigo 36,Via Polcenigo,Zona 3 - Sud,1,46.162257,12.715909,38.437,6.783,45.22,Privato (potenziale),
PRIV_0009,Edificio 8,,Zona 3 - Sud,1,46.162363,12.716234,42.483,7.497,49.98,Privato (potenziale),
PRIV_0010,Via Polcenigo 40,Via Polcenigo,Zona 3 - Sud,1,46.162485,12.716603,60.69,10.71,71.4,Privato (potenziale),
PRIV_0011,Edificio 10,,Zona 3 - Sud,1,46.162378,12.716463,5.474,0.968,6.442,Privato (potenziale),
PRIV_0012,Via Polcenigo 42,Via Polcenigo,Zona 3 - Sud,1,46.16262,12.717049,43.435,7.665,51.1,Privato (potenziale),
PRIV_0013,Via Polcenigo 44,Via Polcenigo,Zona 3 - Sud,1,46.162701,12.717323,33.439,5.901,39.34,Privato (potenziale),
PRIV_0014,Via Polcenigo 46,Via Polcenigo,Zona 3 - Sud,1,46.162764,12.717544,29.75,5.25,35.0,Privato (potenziale),
PRIV_0015,Via Polcenigo 48,Via Polcenigo,Zona 3 - Sud,1,46.162818,12.717773,24.276,4.284,28.56,Privato (potenziale),
PRIV_0016,Edificio 15,,Zona 3 - Sud,1,46.162807,12.717856,5.117,0.905,6.022,Privato (potenziale),
PRIV_0017,Via Sacile 4,Via Sacile,Zona 3 - Sud,1,46.164177,12.714608,53.43,9.429,62.859,Privato (potenziale),
PRIV_0018,Via Polcenigo 3,Via Polcenigo,Zona 3 - Sud,1,46.163926,12.714784,67.473,11.907,79.38,Privato (potenziale),
PRIV_0019,Via Polcenigo 5,Via Polcenigo,Zona 3 - Sud,1,46.163568,12.71492,44.149,7.79,51.939,Privato (potenziale),
PRIV_0020,Via San Daniele 16,Via San Daniele,Zona 3 - Sud,1,46.163352,12.71503,32.13,5.67,37.800000000000004,Privato (potenziale),
PRIV_0021,Via San Daniele 18,Via San Daniele,Zona 3 - Sud,1,46.163292,12.715001,6.664,1.178,7.842,Privato (potenziale),
PRIV_0022,Via San Daniele 8,Via San Daniele,Zona 3 - Sud,1,46.163428,12.716157,27.727,4.893,32.62,Privato (potenziale),
PRIV_0023,Via San Daniele 4,Via San Daniele,Zona 3 - Sud,1,46.163991,12.716243,56.05,9.891,65.941,Privato (potenziale),
PRIV_0024,Edificio 23,,Zona 3 - Sud,1,46.164114,12.716048,7.973,1.406,9.379,Privato (potenziale),
PRIV_0025,Edificio 24,,Zona 3 - Sud,1,46.164072,12.716015,15.113,2.667,17.78,Privato (potenziale),
PRIV_0026,Via Sacile 20,Via Sacile,Zona 3 - Sud,1,46.164319,12.716269,32.963,5.817,38.78,Privato (potenziale),
PRIV_0027,Via Sacile 16,Via Sacile,Zona 3 - Sud,1,46.164334,12.715743,38.912,6.867,45.778999999999996,Privato (potenziale),
PRIV_0028,Via Sacile 12,Via Sacile,Zona 3 - Sud,1,46.164294,12.715409,30.821,5.439,36.260000000000005,Privato (potenziale),
PRIV_0029,Via Polcenigo 13,Via Polcenigo,Zona 3 - Sud,1,46.162867,12.71531,39.984,7.056,47.04,Privato (potenziale),
PRIV_0030,Via Polcenigo 15,Via Polcenigo,Zona 3 - Sud,1,46.162674,12.7154,35.581,6.279,41.86,Privato (potenziale),
PRIV_0031,Via Polcenigo 17,Via Polcenigo,Zona 3 - Sud,1,46.162477,12.715432,33.796,5.964,39.76,Privato (potenziale),
PRIV_0032,Via Polcenigo 19,Via Polcenigo,Zona 3 - Sud,1,46.162648,12.715782,78.778,13.902,92.68,Privato (potenziale),
PRIV_0033,Via Polcenigo 21,Via Polcenigo,Zona 3 - Sud,1,46.162758,12.716118,41.055,7.245,48.3,Privato (potenziale),
PRIV_0034,Via Polcenigo 23,Via Polcenigo,Zona 3 - Sud,1,46.163026,12.716493,62.594,11.046,73.64,Privato (potenziale),
PRIV_0035,Edificio 34,,Zona 3 - Sud,1,46.163037,12.716179,42.245,7.455,49.699999999999996,Privato (potenziale),
PRIV_0036,Edificio 35,,Zona 3 - Sud,1,46.163025,12.71552,20.23,3.57,23.8,Privato (potenziale),
PRIV_0037,Via San Daniele 21,Via San Daniele,Zona 3 - Sud,1,46.163079,12.715517,21.063,3.718,24.781,Privato (potenziale),
PRIV_0038,Via Polcenigo 66,Via Polcenigo,Zona 3 - Sud,1,46.163499,12.719925,32.606,5.753,38.359,Privato (potenziale),
PRIV_0039,Via Polcenigo 68,Via Polcenigo,Zona 3 - Sud,1,46.163608,12.720203,64.617,11.403,76.02000000000001,Privato (potenziale),
PRIV_0040,Edificio 39,,Zona 3 - Sud,1,46.163774,12.720577,6.783,1.199,7.982,Privato (potenziale),
PRIV_0041,Via Polcenigo 76,Via Polcenigo,Zona 3 - Sud,1,46.164081,12.720977,31.059,5.481,36.54,Privato (potenziale),
PRIV_0042,Via Polcenigo 82,Via Polcenigo,Zona 3 - Sud,1,46.164504,12.72119,25.108,4.431,29.539,Privato (potenziale),
PRIV_0043,Via Polcenigo 57,Via Polcenigo,Zona 3 - Sud,1,46.164884,12.720759,41.412,7.308,48.72,Privato (potenziale),
PRIV_0044,Via Sacile 50,Via Sacile,Zona 3 - Sud,1,46.16485,12.720311,25.823,4.557,30.380000000000003,Privato (potenziale),
PRIV_0045,Edificio 44,,Zona 3 - Sud,1,46.164582,12.720627,30.94,5.46,36.4,Privato (potenziale),
PRIV_0046,Via Latisana 31,Via Latisana,Zona 3 - Sud,1,46.164606,12.720067,36.295,6.405,42.7,Privato (potenziale),
PRIV_0047,Via Latisana 34,Via Latisana,Zona 3 - Sud,1,46.164395,12.720136,40.222,7.098,47.32,Privato (potenziale),
PRIV_0048,Edificio 47,,Zona 3 - Sud,1,46.164017,12.720257,21.896,3.865,25.761000000000003,Privato (potenziale),
PRIV_0049,Via Polcenigo 47,Via Polcenigo,Zona 3 - Sud,1,46.164162,12.720456,21.658,3.823,25.481,Privato (potenziale),
PRIV_0050,Via Latisana 30,Via Latisana,Zona 3 - Sud,1,46.16418,12.719872,39.39,6.951,46.341,Privato (potenziale),
PRIV_0051,Via Sacile 48,Via Sacile,Zona 3 - Sud,1,46.164846,12.720016,24.752,4.368,29.119999999999997,Privato (potenziale),
PRIV_0052,Edificio 51,,Zona 3 - Sud,1,46.164242,12.719192,38.08,6.72,44.8,Privato (potenziale),
PRIV_0053,Via Tolmezzo 29,Via Tolmezzo,Zona 3 - Sud,1,46.164233,12.718878,45.815,8.085,53.9,Privato (potenziale),
PRIV_0054,Via Tolmezzo 31,Via Tolmezzo,Zona 3 - Sud,1,46.163981,12.71887,46.648,8.232,54.88,Privato (potenziale),
PRIV_0055,Edificio 54,,Zona 3 - Sud,1,46.16381,12.718982,40.46,7.14,47.6,Privato (potenziale),
PRIV_0056,Edificio 55,,Zona 3 - Sud,1,46.163683,12.719068,11.781,2.079,13.860000000000001,Privato (potenziale),
PRIV_0057,Edificio 56,,Zona 3 - Sud,1,46.163661,12.718945,8.925,1.574,10.499,Privato (potenziale),
PRIV_0058,Via Tolmezzo 38,Via Tolmezzo,Zona 3 - Sud,1,46.163457,12.718446,33.439,5.901,39.34,Privato (potenziale),
PRIV_0059,Via Tolmezzo 34,Via Tolmezzo,Zona 3 - Sud,1,46.16364,12.718153,28.203,4.977,33.18,Privato (potenziale),
PRIV_0060,Via Polcenigo 37,Via Polcenigo,Zona 3 - Sud,1,46.163364,12.718124,33.082,5.838,38.92,Privato (potenziale),
PRIV_0061,Via Polcenigo 33,Via Polcenigo,Zona 3 - Sud,1,46.163314,12.717846,56.763,10.017,66.78,Privato (potenziale),
PRIV_0062,Via Latisana 6,Via Latisana,Zona 3 - Sud,1,46.16339,12.717469,35.224,6.216,41.44,Privato (potenziale),
PRIV_0063,Via Tolmezzo 32,Via Tolmezzo,Zona 3 - Sud,1,46.163666,12.717729,31.416,5.544,36.96,Privato (potenziale),
PRIV_0064,Via Latisana 8,Via Latisana,Zona 3 - Sud,1,46.163595,12.717441,31.773,5.607,37.38,Privato (potenziale),
PRIV_0065,Edificio 64,,Zona 3 - Sud,1,46.16364,12.717575,12.138,2.143,14.280999999999999,Privato (potenziale),
PRIV_0066,Edificio 65,,Zona 3 - Sud,1,46.163459,12.717627,9.639,1.7,11.338999999999999,Privato (potenziale),
PRIV_0067,Edificio 66,,Zona 3 - Sud,1,46.163674,12.717656,8.449,1.49,9.939,Privato (potenziale),
PRIV_0068,Via Latisana 10,Via Latisana,Zona 3 - Sud,1,46.163918,12.717517,55.573,9.807,65.38,Privato (potenziale),
PRIV_0069,Via Tolmezzo 30,Via Tolmezzo,Zona 3 - Sud,1,46.163887,12.717784,26.299,4.641,30.939999999999998,Privato (potenziale),
PRIV_0070,Via Tolmezzo 28,Via Tolmezzo,Zona 3 - Sud,1,46.163981,12.71809,35.462,6.258,41.720000000000006,Privato (potenziale),
PRIV_0071,Via Tolmezzo 26,Via Tolmezzo,Zona 3 - Sud,1,46.164008,12.718398,32.249,5.691,37.940000000000005,Privato (potenziale),
PRIV_0072,Edificio 71,,Zona 3 - Sud,1,46.16424,12.718318,35.462,6.258,41.720000000000006,Privato (potenziale),
PRIV_0073,Via Latisana 16,Via Latisana,Zona 3 - Sud,1,46.164196,12.71788,48.314,8.526,56.84,Privato (potenziale),
PRIV_0074,Via Latisana 14,Via Latisana,Zona 3 - Sud,1,46.164197,12.717508,37.485,6.615,44.1,Privato (potenziale),
PRIV_0075,Via San Daniele 5,Via San Daniele,Zona 3 - Sud,1,46.164221,12.716722,38.794,6.846,45.64,Privato (potenziale),
PRIV_0076,Via Latisana 11,Via Latisana,Zona 3 - Sud,1,46.164114,12.717052,69.139,12.201,81.34,Privato (potenziale),
PRIV_0077,Via San Daniele 11,Via San Daniele,Zona 3 - Sud,1,46.163864,12.716753,97.58,17.22,114.8,Privato (potenziale),
PRIV_0078,Via Latisana 7,Via Latisana,Zona 3 - Sud,1,46.163835,12.716981,16.065,2.835,18.900000000000002,Privato (potenziale),
PRIV_0079,Via Latisana 7,Via Latisana,Zona 3 - Sud,1,46.163762,12.717012,13.566,2.395,15.961,Privato (potenziale),
PRIV_0080,Via Latisana 5,Via Latisana,Zona 3 - Sud,1,46.163495,12.716954,35.224,6.216,41.44,Privato (potenziale),
PRIV_0081,Via Latisana 3,Via Latisana,Zona 3 - Sud,1,46.163311,12.716898,16.779,2.961,19.74,Privato (potenziale),
PRIV_0082,Edificio 81,,Zona 3 - Sud,1,46.163239,12.716901,15.113,2.667,17.78,Privato (potenziale),
PRIV_0083,Via Latisana 1,Via Latisana,Zona 3 - Sud,1,46.163049,12.716902,33.796,5.964,39.76,Privato (potenziale),
PRIV_0084,Edificio 83,,Zona 3 - Sud,1,46.163892,12.71688,7.378,1.302,8.68,Privato (potenziale),
PRIV_0085,Via Latisana 17,Via Latisana,Zona 3 - Sud,1,46.16454,12.717565,30.464,5.376,35.839999999999996,Privato (potenziale),
PRIV_0086,Edificio 85,,Zona 3 - Sud,1,46.164526,12.71787,30.821,5.439,36.260000000000005,Privato (potenziale),
PRIV_0087,Via Latisana 19,Via Latisana,Zona 3 - Sud,1,46.164484,12.717792,10.115,1.784,11.899000000000001,Privato (potenziale),
PRIV_0088,Via Latisana 21,Via Latisana,Zona 3 - Sud,1,46.164538,12.718299,37.247,6.573,43.82,Privato (potenziale),
PRIV_0089,Edificio 88,,Zona 3 - Sud,1,46.164765,12.718077,34.748,6.132,40.879999999999995,Privato (potenziale),
PRIV_0090,Edificio 89,,Zona 3 - Sud,1,46.16473,12.718399,37.247,6.573,43.82,Privato (potenziale),
PRIV_0091,Via Tolmezzo 23,Via Tolmezzo,Zona 3 - Sud,1,46.164752,12.718807,35.105,6.195,41.3,Privato (potenziale),
PRIV_0092,Via Sacile 42,Via Sacile,Zona 3 - Sud,1,46.164779,12.719065,34.986,6.174,41.16,Privato (potenziale),
PRIV_0093,Via Sacile 44,Via Sacile,Zona 3 - Sud,1,46.164802,12.719373,36.89,6.51,43.4,Privato (potenziale),
PRIV_0094,Edificio 93,,Zona 3 - Sud,1,46.165482,12.7188,29.274,5.166,34.44,Privato (potenziale),
PRIV_0095,Via Sacile 43,Via Sacile,Zona 3 - Sud,1,46.165155,12.719008,38.794,6.846,45.64,Privato (potenziale),
PRIV_0096,Via Tolmezzo 21,Via Tolmezzo,Zona 3 - Sud,1,46.165069,12.718778,25.108,4.431,29.539,Privato (potenziale),
PRIV_0097,Edificio 96,,Zona 3 - Sud,1,46.165187,12.718833,10.829,1.91,12.739,Privato (potenziale),
PRIV_0098,Edificio 97,,Zona 3 - Sud,1,46.16519,12.719273,25.466,4.494,29.96,Privato (potenziale),
PRIV_0099,Edificio 98,,Zona 3 - Sud,1,46.165251,12.719266,5.474,0.968,6.442,Privato (potenziale),
PRIV_0100,Via Sacile 45,Via Sacile,Zona 3 - Sud,1,46.16509,12.71926,14.28,2.521,16.801,Privato (potenziale),
PRIV_0101,Via Pontebba 22,Via Pontebba,Zona 3 - Sud,1,46.165073,12.719522,32.606,5.753,38.359,Privato (potenziale),
PRIV_0102,Via Pontebba 20,Via Pontebba,Zona 3 - Sud,1,46.165272,12.71952,32.249,5.691,37.940000000000005,Privato (potenziale),
PRIV_0103,Via Pontebba 15,Via Pontebba,Zona 3 - Sud,1,46.165235,12.719913,40.222,7.098,47.32,Privato (potenziale),
PRIV_0104,Edificio 103,,Zona 3 - Sud,1,46.165456,12.720244,8.568,1.511,10.078999999999999,Privato (potenziale),
PRIV_0105,Edificio 104,,Zona 3 - Sud,1,46.165413,12.720214,13.804,2.437,16.241,Privato (potenziale),
PRIV_0106,Via Pontebba 13,Via Pontebba,Zona 3 - Sud,1,46.165566,12.719999,43.316,7.644,50.96,Privato (potenziale),
PRIV_0107,Via Pontebba 11,Via Pontebba,Zona 3 - Sud,1,46.165778,12.719976,43.911,7.748,51.659,Privato (potenziale),
PRIV_0108,Via Pontebba 9,Via Pontebba,Zona 3 - Sud,1,46.166018,12.719904,32.725,5.775,38.5,Privato (potenziale),
PRIV_0109,Edificio 108,,Zona 3 - Sud,1,46.165933,12.720128,10.591,1.867,12.457999999999998,Privato (potenziale),
PRIV_0110,Edificio 109,,Zona 3 - Sud,1,46.166145,12.720201,16.898,2.981,19.878999999999998,Privato (potenziale),
PRIV_0111,Via Pontebba 7,Via Pontebba,Zona 3 - Sud,1,46.166234,12.719973,33.32,5.88,39.2,Privato (potenziale),
PRIV_0112,Via Pontebba 1,Via Pontebba,Zona 3 - Sud,1,46.166676,12.720087,40.579,7.161,47.74,Privato (potenziale),
PRIV_0113,Via Pontebba 10,Via Pontebba,Zona 3 - Sud,1,46.166242,12.719511,23.562,4.159,27.721,Privato (potenziale),
PRIV_0114,Edificio 113,,Zona 3 - Sud,1,46.166213,12.719401,20.944,3.697,24.641,Privato (potenziale),
PRIV_0115,Edificio 114,,Zona 3 - Sud,1,46.16603,12.719177,19.992,3.528,23.52,Privato (potenziale),
PRIV_0116,Via Pontebba 12,Via Pontebba,Zona 3 - Sud,1,46.166013,12.719482,33.558,5.922,39.48,Privato (potenziale),
PRIV_0117,Via Pontebba 14,Via Pontebba,Zona 3 - Sud,1,46.165844,12.719494,34.629,6.111,40.739999999999995,Privato (potenziale),
PRIV_0118,Via Pontebba 16,Via Pontebba,Zona 3 - Sud,1,46.165665,12.719472,34.271,6.048,40.319,Privato (potenziale),
PRIV_0119,Via Pontebba 18,Via Pontebba,Zona 3 - Sud,1,46.165479,12.719502,19.992,3.528,23.52,Privato (potenziale),
PRIV_0120,Edificio 119,,Zona 3 - Sud,1,46.165454,12.719425,17.969,3.17,21.139000000000003,Privato (potenziale),
PRIV_0121,Via Tolmezzo 11,Via Tolmezzo,Zona 3 - Sud,1,46.165842,12.718826,35.462,6.258,41.720000000000006,Privato (potenziale),
PRIV_0122,Via Tolmezzo 9,Via Tolmezzo,Zona 3 - Sud,1,46.166022,12.718827,44.268,7.812,52.08,Privato (potenziale),
PRIV_0123,Via Tolmezzo 7,Via Tolmezzo,Zona 3 - Sud,1,46.166221,12.718784,37.247,6.573,43.82,Privato (potenziale),
PRIV_0124,Via Tolmezzo 3,Via Tolmezzo,Zona 3 - Sud,1,46.166461,12.718835,32.963,5.817,38.78,Privato (potenziale),
PRIV_0125,Via Tolmezzo 1,Via Tolmezzo,Zona 3 - Sud,1,46.166676,12.718838,28.798,5.082,33.879999999999995,Privato (potenziale),
PRIV_0126,Edificio 125,,Zona 3 - Sud,1,46.166567,12.719095,27.608,4.872,32.480000000000004,Privato (potenziale),
PRIV_0127,Edificio 126,,Zona 3 - Sud,1,46.16639,12.719096,11.781,2.079,13.860000000000001,Privato (potenziale),
PRIV_0128,Edificio 127,,Zona 3 - Sud,1,46.166237,12.719094,27.37,4.83,32.2,Privato (potenziale),
PRIV_0129,Edificio 128,,Zona 3 - Sud,1,46.165895,12.719124,5.236,0.925,6.161,Privato (potenziale),
PRIV_0130,Via Sacile 35,Via Sacile,Zona 3 - Sud,1,46.165336,12.717867,29.869,5.271,35.14,Privato (potenziale),
PRIV_0131,Via Sacile 39,Via Sacile,Zona 3 - Sud,1,46.165248,12.718131,37.961,6.699,44.66,Privato (potenziale),
PRIV_0132,Via Tolmezzo 20,Via Tolmezzo,Zona 3 - Sud,1,46.165189,12.718383,21.301,3.76,25.061,Privato (potenziale),
PRIV_0133,Edificio 132,,Zona 3 - Sud,1,46.165093,12.718392,13.328,2.353,15.681,Privato (potenziale),
PRIV_0134,Via Tolmezzo 18,Via Tolmezzo,Zona 3 - Sud,1,46.165468,12.718335,29.75,5.25,35.0,Privato (potenziale),
PRIV_0135,Via Tolmezzo 16,Via Tolmezzo,Zona 3 - Sud,1,46.165663,12.718318,36.652,6.468,43.120000000000005,Privato (potenziale),
PRIV_0136,Via Tolmezzo 12,Via Tolmezzo,Zona 3 - Sud,1,46.165842,12.718313,26.894,4.746,31.64,Privato (potenziale),
PRIV_0137,Via Tolmezzo 10,Via Tolmezzo,Zona 3 - Sud,1,46.166025,12.718303,27.132,4.788,31.92,Privato (potenziale),
PRIV_0138,Edificio 137,,Zona 3 - Sud,1,46.165985,12.718073,14.875,2.626,17.501,Privato (potenziale),
PRIV_0139,Via Tolmezzo 8,Via Tolmezzo,Zona 3 - Sud,1,46.166219,12.718297,30.583,5.397,35.98,Privato (potenziale),
PRIV_0140,Via Tolmezzo 4,Via Tolmezzo,Zona 3 - Sud,1,46.166414,12.718261,49.147,8.673,57.82,Privato (potenziale),
PRIV_0141,Edificio 140,,Zona 3 - Sud,1,46.166661,12.718317,39.39,6.951,46.341,Privato (potenziale),
PRIV_0142,Via Gemona 6,Via Gemona,Zona 3 - Sud,1,46.166571,12.717885,48.076,8.484,56.56,Privato (potenziale),
PRIV_0143,Via Gemona 4,Via Gemona,Zona 3 - Sud,1,46.166659,12.717618,29.274,5.166,34.44,Privato (potenziale),
PRIV_0144,Via Gemona 2,Via Gemona,Zona 3 - Sud,1,46.166651,12.717371,29.393,5.187,34.58,Privato (potenziale),
PRIV_0145,Edificio 144,,Zona 3 - Sud,1,46.166325,12.718004,18.564,3.275,21.839,Privato (potenziale),
PRIV_0146,Edificio 145,,Zona 3 - Sud,1,46.165699,12.718003,14.28,2.521,16.801,Privato (potenziale),
PRIV_0147,Edificio 146,,Zona 3 - Sud,1,46.165621,12.718045,9.639,1.7,11.338999999999999,Privato (potenziale),
PRIV_0148,Via Campagna 61,Via Campagna,Zona 3 - Sud,1,46.165776,12.717594,40.103,7.077,47.18,Privato (potenziale),
PRIV_0149,Via Campagna 63,Via Campagna,Zona 3 - Sud,1,46.165522,12.717606,78.064,13.776,91.83999999999999,Privato (potenziale),
PRIV_0150,Via Campagna 60,Via Campagna,Zona 3 - Sud,1,46.167247,12.716492,29.274,5.166,34.44,Privato (potenziale),
PRIV_0151,Via Campagna 58,Via Campagna,Zona 3 - Sud,1,46.166928,12.716514,33.32,5.88,39.2,Privato (potenziale),
PRIV_0152,Via Travesio 3,Via Travesio,Zona 3 - Sud,1,46.166942,12.716143,37.128,6.552,43.68,Privato (potenziale),
PRIV_0153,Edificio 152,,Zona 3 - Sud,1,46.167117,12.716245,14.28,2.521,16.801,Privato (potenziale),
PRIV_0154,Via Travesio 1,Via Travesio,Zona 3 - Sud,1,46.167157,12.716068,38.794,6.846,45.64,Privato (potenziale),
PRIV_0155,Edificio 154,,Zona 3 - Sud,1,46.166448,12.716578,28.084,4.956,33.04,Privato (potenziale),
PRIV_0156,Via Travesio 11,Via Travesio,Zona 3 - Sud,1,46.166207,12.716265,31.892,5.628,37.519999999999996,Privato (potenziale),
PRIV_0157,Edificio 156,,Zona 3 - Sud,1,46.166307,12.716392,9.282,1.637,10.919,Privato (potenziale),
PRIV_0158,Edificio 157,,Zona 3 - Sud,1,46.166349,12.71641,7.616,1.343,8.959,Privato (potenziale),
PRIV_0159,Via Travesio 13,Via Travesio,Zona 3 - Sud,1,46.165976,12.716271,36.652,6.468,43.120000000000005,Privato (potenziale),
PRIV_0160,Via Sequals 7,Via Sequals,Zona 3 - Sud,1,46.166087,12.716943,28.798,5.082,33.879999999999995,Privato (potenziale),
PRIV_0161,Via Travesio 2,Via Travesio,Zona 3 - Sud,1,46.167087,12.715659,52.122,9.198,61.32,Privato (potenziale),
PRIV_0162,Via Travesio 4,Via Travesio,Zona 3 - Sud,1,46.166797,12.715718,48.552,8.568,57.12,Privato (potenziale),
PRIV_0163,Via Claut 1,Via Claut,Zona 3 - Sud,1,46.167017,12.715346,39.746,7.014,46.760000000000005,Privato (potenziale),
PRIV_0164,Via Claut 11,Via Claut,Zona 3 - Sud,1,46.166783,12.715398,39.627,6.993,46.620000000000005,Privato (potenziale),
PRIV_0165,Edificio 164,,Zona 3 - Sud,1,46.166895,12.715391,11.662,2.058,13.72,Privato (potenziale),
PRIV_0166,Edificio 165,,Zona 3 - Sud,1,46.166678,12.715443,6.069,1.073,7.1419999999999995,Privato (potenziale),
PRIV_0167,Edificio 166,,Zona 3 - Sud,1,46.167103,12.715329,6.426,1.136,7.562,Privato (potenziale),
PRIV_0168,Via Claut 13,Via Claut,Zona 3 - Sud,1,46.166528,12.715405,17.493,3.086,20.578999999999997,Privato (potenziale),
PRIV_0169,Via Claut 15,Via Claut,Zona 3 - Sud,1,46.166378,12.715532,27.251,4.809,32.06,Privato (potenziale),
PRIV_0170,Via Claut 19,Via Claut,Zona 3 - Sud,1,46.165924,12.71559,38.556,6.804,45.36,Privato (potenziale),
PRIV_0171,Via Travesio 12,Via Travesio,Zona 3 - Sud,1,46.165965,12.715871,28.798,5.082,33.879999999999995,Privato (potenziale),
PRIV_0172,Via Claut 21,Via Claut,Zona 3 - Sud,1,46.165579,12.715724,40.936,7.224,48.16,Privato (potenziale),
PRIV_0173,Edificio 172,,Zona 3 - Sud,1,46.165594,12.71581,7.139,1.26,8.399000000000001,Privato (potenziale),
PRIV_0174,Via Claut 23,Via Claut,Zona 3 - Sud,1,46.165374,12.71574,16.065,2.835,18.900000000000002,Privato (potenziale),
PRIV_0175,Via Claut 25,Via Claut,Zona 3 - Sud,1,46.165282,12.715796,15.946,2.814,18.759999999999998,Privato (potenziale),
PRIV_0176,Via Claut 25,Via Claut,Zona 3 - Sud,1,46.165309,12.715726,11.781,2.079,13.860000000000001,Privato (potenziale),
PRIV_0177,Via Dignano 3,Via Dignano,Zona 3 - Sud,1,46.165377,12.71607,28.084,4.956,33.04,Privato (potenziale),
PRIV_0178,Edificio 177,,Zona 3 - Sud,1,46.165536,12.716155,7.735,1.365,9.1,Privato (potenziale),
PRIV_0179,Via Sequals 4,Via Sequals,Zona 3 - Sud,1,46.165583,12.715994,39.151,6.909,46.06,Privato (potenziale),
PRIV_0180,Via Sequals 10,Via Sequals,Zona 3 - Sud,1,46.165662,12.716318,35.462,6.258,41.720000000000006,Privato (potenziale),
PRIV_0181,Via Dignano 5,Via Dignano,Zona 3 - Sud,1,46.165403,12.716348,38.08,6.72,44.8,Privato (potenziale),
PRIV_0182,Via Sequals 12,Via Sequals,Zona 3 - Sud,1,46.165582,12.716668,58.786,10.374,69.16,Privato (potenziale),
PRIV_0183,Via Campagna 82,Via Campagna,Zona 3 - Sud,1,46.165467,12.716954,31.297,5.523,36.82,Privato (potenziale),
PRIV_0184,Via Campagna 80,Via Campagna,Zona 3 - Sud,1,46.165726,12.716926,30.464,5.376,35.839999999999996,Privato (potenziale),
PRIV_0185,Via Sacile 23,Via Sacile,Zona 3 - Sud,1,46.165093,12.716833,55.097,9.723,64.82000000000001,Privato (potenziale),
PRIV_0186,Via Sacile 21,Via Sacile,Zona 3 - Sud,1,46.164967,12.716507,26.775,4.725,31.5,Privato (potenziale),
PRIV_0187,Via Dignano 4,Via Dignano,Zona 3 - Sud,1,46.164991,12.716145,38.794,6.846,45.64,Privato (potenziale),
PRIV_0188,Via Sacile 19,Via Sacile,Zona 3 - Sud,1,46.164769,12.71617,38.912,6.867,45.778999999999996,Privato (potenziale),
PRIV_0189,Via Claut 10,Via Claut,Zona 3 - Sud,1,46.166968,12.714807,21.301,3.76,25.061,Privato (potenziale),
PRIV_0190,Edificio 189,,Zona 3 - Sud,1,46.166911,12.714848,18.802,3.317,22.119,Privato (potenziale),
PRIV_0191,Via Claut 12,Via Claut,Zona 3 - Sud,1,46.166703,12.714963,34.986,6.174,41.16,Privato (potenziale),
PRIV_0192,Via Barcis 14,Via Barcis,Zona 3 - Sud,1,46.166687,12.714371,58.191,10.269,68.46000000000001,Privato (potenziale),
PRIV_0193,Edificio 192,,Zona 3 - Sud,1,46.166755,12.714404,6.069,1.073,7.1419999999999995,Privato (potenziale),
PRIV_0194,Edificio 193,,Zona 3 - Sud,1,46.166485,12.714792,5.117,0.905,6.022,Privato (potenziale),
PRIV_0195,Via Claut 14,Via Claut,Zona 3 - Sud,1,46.166465,12.715055,24.633,4.346,28.979,Privato (potenziale),
PRIV_0196,Via Claut 14,Via Claut,Zona 3 - Sud,1,46.166528,12.715057,7.139,1.26,8.399000000000001,Privato (potenziale),
PRIV_0197,Via Claut 18,Via Claut,Zona 3 - Sud,1,46.166122,12.715106,38.794,6.846,45.64,Privato (potenziale),
PRIV_0198,Via Claut 20,Via Claut,Zona 3 - Sud,1,46.165973,12.715247,18.802,3.317,22.119,Privato (potenziale),
PRIV_0199,Edificio 198,,Zona 3 - Sud,1,46.165719,12.715094,20.111,3.549,23.66,Privato (potenziale),
PRIV_0200,Via Claut 22,Via Claut,Zona 3 - Sud,1,46.165756,12.715186,18.326,3.233,21.559,Privato (potenziale),
PRIV_0201,Via Claut 24,Via Claut,Zona 3 - Sud,1,46.165567,12.715237,31.416,5.544,36.96,Privato (potenziale),
