datetime,Campagna,Ex Bioman,NE-Centro,Ovest
2024-01-01 00:00:00,0.007365629192970988,0.8072563054370195,0.3830565927306172,0.015853448666908368
2024-01-01 01:00:00,0.007365629192970988,0.7687628106766596,0.36348730224503084,0.015853448666908368
2024-01-01 02:00:00,0.007365629192970988,0.7495160632964798,0.35370265700223774,0.015853448666908368
2024-01-01 03:00:00,0.007365629192970988,0.7495160632964798,0.35370265700223774,0.015853448666908368
2024-01-01 04:00:00,0.007365629192970988,0.7687628106766596,0.36348730224503084,0.015853448666908368
2024-01-01 05:00:00,0.012276048654951646,0.9013709729088001,0.45420172048217633,0.02642241444484728
2024-01-01 06:00:00,0.03682814596485494,1.2619724423431402,0.7984603884529609,0.07926724333454183
2024-01-01 07:00:00,0.08593234058466154,1.6402695019755034,1.4036535858195307,0.18495690111393095
2024-01-01 08:00:00,0.11048443789456482,1.7660706964310828,1.7425559691351469,0.2378017300036255
2024-01-01 09:00:00,0.11048443789456482,1.727577201670723,1.7472936377452861,0.2378017300036255
2024-01-01 10:00:00,0.10557401843258415,1.683170215399427,1.6940354749350954,0.22723276422568658
2024-01-01 11:00:00,0.09820838923961317,1.6653342853594653,1.6045182394882733,0.21137931555877823
2024-01-01 12:00:00,0.07365629192970988,1.539533090903886,1.3466390531584094,0.15853448666908365
2024-01-01 13:00:00,0.09329796977763252,1.6202696181716374,1.5610447219208758,0.2008103497808393
2024-01-01 14:00:00,0.09820838923961317,1.6454298570627532,1.628825198583999,0.21137931555877823
2024-01-01 15:00:00,0.08593234058466154,1.6024336881316756,1.4958344455697794,0.18495690111393095
2024-01-01 16:00:00,0.049104194619806585,1.4727875004219104,1.1390561105642147,0.10568965777938912
2024-01-01 17:00:00,0.019641677847922635,1.4903026371394397,0.7762495001667874,0.04227586311175564
2024-01-01 18:00:00,0.012276048654951646,1.4923711353961897,0.6300160268299388,0.02642241444484728
2024-01-01 19:00:00,0.009820838923961317,1.3716854116930752,0.5384137338249845,0.02113793155587782
2024-01-01 20:00:00,0.007365629192970988,1.161483150196052,0.4694360743715377,0.015853448666908368
2024-01-01 21:00:00,0.007365629192970988,0.9936642610483598,0.4319798189445831,0.015853448666908368
2024-01-01 22:00:00,0.007365629192970988,0.8656542284940913,0.4026258832162036,0.015853448666908368
2024-01-01 23:00:00,0.007365629192970988,0.8072563054370195,0.3830565927306172,0.015853448666908368
2024-01-02 00:00:00,0.006911563591525715,0.7627151638800971,0.3606546106717872,0.014876138308848114
2024-01-02 01:00:00,0.006911563591525715,0.7264341335631035,0.3422100909987968,0.014876138308848114
2024-01-02 02:00:00,0.006911563591525715,0.7082936184046068,0.3329878311623016,0.014876138308848114
2024-01-02 03:00:00,0.006911563591525715,0.7082936184046068,0.3329878311623016,0.014876138308848114
2024-01-02 04:00:00,0.006911563591525715,0.7264341335631035,0.3422100909987968,0.014876138308848114
2024-01-02 05:00:00,0.011519272652542857,0.851738646176621,0.4274914982129171,0.02479356384808019
2024-01-02 06:00:00,0.03455781795762858,1.1918851106145385,0.750830258762057,0.07438069154424057
2024-01-02 07:00:00,0.0806349085678,1.547812966044238,1.3188594492083319,0.17355494693656134
2024-01-02 08:00:00,0.10367345387288572,1.6658589814096187,1.6368097137138378,0.22314207463272173
2024-01-02 09:00:00,0.10367345387288572,1.629577951092625,1.6411617215902898,0.22314207463272173
2024-01-02 10:00:00,0.09906574481186858,1.5878282328610522,1.591145936402136,0.21322464909348965
2024-01-02 11:00:00,0.09215418122034286,1.5711242582430924,1.5071591208252058,0.19834851078464152
2024-01-02 12:00:00,0.06911563591525716,1.4530782428777116,1.2651972814845085,0.14876138308848114
2024-01-02 13:00:00,0.08754647215932572,1.5288052251783617,1.466365595473547,0.18843108524540944
2024-01-02 14:00:00,0.09215418122034286,1.552414428251438,1.5299556483746481,0.19834851078464152
2024-01-02 15:00:00,0.0806349085678,1.512101250560402,1.4051753074460591,0.17355494693656134
2024-01-02 16:00:00,0.04607709061017143,1.3905924026541363,1.0704519145627107,0.09917425539232076
2024-01-02 17:00:00,0.01843083624406857,1.4079006133973992,0.7301526443785367,0.039669702156928305
